show_id,type,title,director,cast,country,release_year,rating,duration,genres
s2939,Movie,C U Soon,Mahesh Narayan,"Fahadh Faasil, Darshana Rajendran, Roshan Mathew, Saiju Kurup, Mala Parvathy",India,2020,16+,98 min,"Drama, Suspense"
s2983,Movie,Brad's Status,Mike White,"Ben Stiller, Austin Abrams, Jenna Fischer, Luke Wilson, Michael Sheen",United States,2017,R,102 min,"Comedy, Drama"
s2988,Movie,Boys (English Subtitled),Mischa Kamp,"Stijn Taverne, Gijs Blom, Ton Kas, Jonas Smulders, Ko Zandvliet",Netherlands,2015,16+,77 min,"LGBTQ, Romance, Sports"
s2989,Movie,Boynton Beach Club,Susan Seidelman,"Dyan Cannon, Sally Kellerman, Brenda Vaccaro, Len Cariou, Joseph Bologna",United States,2006,R,105 min,"Comedy, Romance"
s2997,Movie,Bornoporichoy,Mainak Bhaumik,"Jisshu Sengupta, Abir Chatterjee, Priyanka Sarkar",India,2019,16+,102 min,"Drama, International"
s3023,Movie,Blow The Man Down,"Danielle Krudy, Bridget Savage Cole","Morgan Saylor, Sophie Lowe, Margo Martindale, June Squibb, Annette O'Toole, Marceline Hugot",United States,2020,R,91 min,"Comedy, Drama, Suspense"
s3047,Movie,Blackmail,Abhinay Deo,"Irrfan Khan, Kirti Kulhari, Arunoday Singh, Omi Vaidya, Gajraj Rao, Divya Dutta",India,2018,13+,137 min,"Action, Comedy, International"
s3051,Movie,Black Water,Pasha Patriki,"Dolph Lundgren, Jean-Claude Van Damme, Patrick Kilpatrick, Jasmine Waltz","Canada, United States",2018,R,105 min,"Action, Adventure"
s3054,Movie,Black Robe,Bruce Beresford,"Lothaire Bluteau, Aden Young, Sandrine Holt",United States,1991,R,101 min,"Action, Drama"
s3080,Movie,Bhoot Part One - The Haunted Ship,Bhanu Pratap Singh,"Vicky Kaushal, Bhumi Pednekar, Ashutosh Rana",India,2020,16+,110 min,"Horror, International"
s3081,Movie,Bhoot Chaturdashi,Shabbir Mallick,"Aryann Bhowmik, Ena Saha, Deepsheta Mitra, Soumendra Bhattacharya",India,2019,13+,98 min,Horror
s3084,Movie,Bharat,Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Jackie Shroff, Disha Patani, Sunil Grover, Guest Appearance - Tabu",India,2019,13+,155 min,"Drama, International"
s3086,Movie,Beyond the Sky,Fulvio Sestito,"Ryan Carnes, Peter Stormare, Dee Wallace, Martin Sensmeier, Jordan Hinson, Don Stark",United States,2018,18+,82 min,"Science Fiction, Suspense"
s3099,Movie,Beowulf,Robert Zemeckis,"Ray Winstone, Anthony Hopkins, John Malkovich, Robin Wright, Brendan Gleeson, Crispin Glover, Alison Lohman, Angelina Jolie","United States, United Kingdom",2007,PG-13,114 min,"Action, Fantasy"
s3133,Movie,Be Somebody,Joshua Caldwell,"Matt Espinosa, Sarah  Jeffery, Allison Paige",United States,2016,PG,87 min,Comedy
s3141,Movie,Bastille - ReOrchestrated,"Tom Middleton, Toby L",Bastille,United Kingdom,2021,16+,71 min,"Documentary, Music Videos and Concerts"
s3148,Movie,Barista,Rock Baijnauth,"Truman Severson, Charles Babinski, Charlie Habegger, Eden-Marie Abramowicz, Ryan Redden",United States,2015,16+,102 min,"Documentary, Special Interest"
s3187,Movie,Ayogya,Venkat Mohan,"Vishal, Raashi Khanna, Parthiban",India,2019,13+,148 min,"Action, Drama, International"
s3205,Movie,Ashley,Dean Matthew Ronalds,"Nicole Arianna Fox, Michael Madsen, Holly Taylor",United States,2013,13+,91 min,Drama
s3234,Movie,Any Day Now,Travis Fine,"Alan Cumming, Garret Dillahunt",United States,2012,R,98 min,"Drama, LGBTQ"
s3259,Movie,Andy Murray: Resurfacing,Olivia Cappuccini,Andy Murray,United Kingdom,2019,16+,109 min,Documentary
s3290,Movie,American Animals,Bart Layton,"Evan Peters, Barry Keoghan, Blake Jenner, Jared Abrahamson, Udo Kier, Ann Dowd","United Kingdom, United States",2018,R,117 min,"Action, Drama"
s3304,Movie,Amal,Richie Mehta,"Rupinder Nagra, Naseeruddin Shah, Seema Biswas, Koel Purie, Vik Sahay, Roshan Seth",Canada,2008,18+,104 min,Drama
s3374,Movie,Aadai,Rathna Kumar,"Amala Paul, Ramya Subramanian, Ananya Ramaprasad, Sriranjani, Vivek Prasanna",India,2019,18+,127 min,Suspense
s3375,Movie,A Year in Port,David Kennard,Martine Saunier,"United States, Portugal",2016,16+,86 min,"Documentary, Special Interest"
